episode,steps,reward,collisions,weather,avg_speed,lane_distance,lat,lon,accel_x,gyro_z
0,151,1052.65,1,CloudyNoon,22.27,1.18,0.002351,0.001765,-137.33,-0.50
1,378,2897.57,1,CloudyNoon,10.84,0.86,0.001596,0.000403,-120.72,-0.45
